Stock no,Description,As is,18K Code,14K Code,10K Code,9K Code,Silver Code,Gold weight,1st Stn,1st Stn qty,1st Stn weight,2nd Stn,2nd Stn qty,2nd Stn weight,3rd Stn,3rd Stn qty,3rd Stn weight,4th Stn,4th Stn qty,4th Stn weight
174649,"RU RING, WG, #16689",24158,29839,25553,21289,20362,14734,2.91,RU,4,0.77,DA,13,0.18,DA,28,0.22,,0,0
182372,"PS RING, YG, #80233",32197,41057,36933,32824,31944,26522,2.8,PS,1,1,DA,2,0.09,DA,12,0.32,,0,0
181620,"EM RING, WG, #16039",21206,29276,25511,21778,20970,16039,2.55,EM,2,0.37,DA,30,0.47,,0,0,,0,0
182636,"RU RING, YG, #10676",9862,15559,12911,10266,9701,6215,1.8,RU,1,0.54,DA,21,0.21,,0,0,,0,0
177777,"RU RING, WG, #17853",26435,36269,31864,27495,26584,20800,2.98,RU,1,0.43,DA,8,0.63,,0,0,,0,0
181656,"EM RING, YW, #16115",19194,26369,23115,19900,19209,14949,2.2,EM,1,0.28,YD,14,0.07,DA,12,0.17,DA,20,0.15
186283,"EM RING, WG, #15981",23768,29897,27131,24411,23805,20190,1.87,EM,4,0.59,DA,3,0.44,,0,0,,0,0
185152,"EM EARRINGS, WG, #18696",26363,33382,30235,27084,26404,22273,2.14,EM,2,1.14,DA,32,0.25,,0,0,,0,0
184892,"SA EARRINGS, WG, #18118",12088,14876,13097,11348,10971,8648,1.2,SA,2,0.7,DA,36,0.1,,0,0,,0,0
180814,"OP PENDANT, WG, #8578",7921,12004,10084,8205,7812,5307,1.29,OP,1,0.9,DA,22,0.14,,0,0,,0,0
184463,"OP PENDANT, WG, #7787",5216,9108,7297,5480,5099,2724,1.23,OP,1,0.6,DA,5,0.02,,0,0,,0,0
185920,"SA RING, WG, #15699",15002,21599,18648,15719,15090,11217,2,SA,1,0.61,DA,46,0.15,,0,0,,0,0
186289,"SA RING, WG, #16900",66251,74136,70589,67103,66351,61730,2.39,SA,1,1.24,DA,9,0.8,,0,0,,0,0
186317,"SA RING, WG, #15300",72702,80126,76817,73511,72810,68446,2.25,SA,1,1.33,OV,2,0.34,DA,8,0.46,,0,0
186290,"RU RING, WG, #16675",75772,84715,80733,76753,75889,70648,2.71,RU,1,1.84,BG,4,0.27,DA,10,0.57,,0,0
186029,"RU RING, WG, #12917",71593,80401,76463,72562,71705,66541,2.67,RU,1,0.81,RU,2,0.59,OV,2,0.62,DA,48,0.18
185923,"SA RING, WG, #16741",21928,28294,25462,22608,22020,18276,1.93,SA,2,1.1,DA,83,0.22,,0,0,,0,0
186331,"RU PENDANT, WG, #18653",14423,20493,17760,15077,14505,10942,1.84,RU,6,1.36,DA,1,0.03,DA,6,0.05,,0,0
185921,"SA PENDANT, WG, #15700",12281,14955,13772,12579,12326,10751,0.81,SA,1,0.62,DA,46,0.15,,0,0,,0,0
185150,"RU RING, WG, #15625",23188,30816,25956,21160,20141,13790,3.28,RU,1,0.86,DA,2,0.1,DA,4,0.12,DA,6,0.12
154208,"RU PENDANT, WG, #11479",28245,32772,30657,28556,28111,25349,1.43,RU,1,1.3,TD,8,0.11,DA,1,0.06,DA,8,0.18
181311,"EM MIXED NECKLACE, YG, #17424",26712,37218,32314,27468,26413,19984,3.32,EM,1,1.23,DA,18,0.17,,0,0,,0,0
178399,"TD PENDANT, PG, #17979",23160,27654,25550,23491,23019,20283,1.42,TD,15,0.52,DA,6,0.16,DA,25,0.1,,0,0
177431,"RU RING, WG, #17821",141553,160698,151790,142909,141015,129292,6.05,RU,1,1.74,PS,1,0.1,OV,3,0.75,DA,51,0.37
186287,"SA PENDANT, WG, #14759",42714,47697,45451,43263,42776,39858,1.51,SA,1,1.42,DA,6,0.4,DA,6,0.16,,0,0
179157,"EM MIXED NECKLACE, WG, #18139",66910,86454,78773,71165,69531,59462,4.73,EM,5,2.28,PE,30,1.56,DA,25,0.36,,0,0
183122,"RU PENDANT, WG, #80192",41987,44622,42637,40653,40222,37615,1.35,RU,1,1.42,DA,19,0.6,,0,0,,0,0
181218,"DA BANGLE, WG, #11873",18950,44997,36436,27978,26095,14837,4.36,DA,49,0.67,,0,0,,0,0,,0,0
183173,"EM RING, WG, #18587",78078,87445,83063,78748,77812,72080,2.96,EM,1,0.74,PS,2,0.21,DA,10,0.25,,0,0
183169,"EM RING, WG, #18586",81568,90491,86346,82211,81327,75852,2.82,EM,1,0.7,DA,14,0.33,DA,4,0.05,DA,8,0.06
184753,"RU RING, WG, #15171",70644,83554,77522,71546,70276,62375,4.08,RU,1,1.15,BG,6,0.52,DA,10,0.62,DA,24,0.21
